"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\AbstractSyntaxTree.cs", "C#", 168, 0, 0, 0, 5, 18, 191
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\AidScript.csproj", "XML", 0, 0, 8, 0, 0, 3, 11
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Executor.cs", "C#", 180, 0, 0, 0, 10, 13, 203
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\FileReader.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Heap.cs", "C#", 41, 0, 0, 0, 2, 8, 51
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Interpreter.cs", "C#", 13, 0, 0, 0, 1, 3, 17
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Lexer.cs", "C#", 160, 0, 0, 0, 1, 17, 178
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Parser.cs", "C#", 235, 0, 0, 0, 5, 29, 269
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Program.cs", "C#", 27, 0, 0, 0, 5, 5, 37
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\Token.cs", "C#", 20, 0, 0, 0, 2, 4, 26
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\bin\Debug\net8.0\AidScript.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\bin\Debug\net8.0\AidScript.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.dgspec.json", "JSON", 0, 69, 0, 0, 0, 0, 69
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\AidScript.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\Debug\net8.0\AidScript.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\amp09\Desktop\AidScriptNew\AidScript\obj\project.assets.json", "JSON", 0, 74, 0, 0, 0, 0, 74
"Total", "-", 871, 179, 25, 13, 42, 110, 1240
